Name,OR_OutCome,alpha150_Every_Outcome,OR_TotalSplits,alpha150_Every_TotalSplits,OR_RunTime,alpha150_Every_RunTime,Who Performed Better,By How Much Percentage,alpha150_Every TimedOut but not OR,OR TimedOut but not alpha150_Every
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,213,296,3597.773626,3597.551333,TIMED-OUT,TIMED-OUT,0,0
sbp2port_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,1936,312,3597.871334,3597.709911,TIMED-OUT,TIMED-OUT,0,0
usbccgp_markirppending_0.bpl.bpl.txt,NOK,NOK,23,51,11.280407,101.504581,OR,799.8308394369104,0,0
avc_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,2322,385,3597.96407,3597.974828,TIMED-OUT,TIMED-OUT,0,0
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,NOK,22,103,16.51079,246.650053,OR,1393.8719043728377,0,0
61883_irqlkesetevent_0.bpl.bpl.txt,OK,OK,1,4,1.1600829999999998,3.582648,OR,208.82686842234568,0,0
sys_removelockforwarddevicecontrol_0.bpl.bpl.txt,OK,OK,6,14,6.8047509999999996,8.099172,OR,19.02231249901723,0,0
cyzport_irqlkedispatchlte_0.bpl.bpl.txt,NOK,NOK,68,39,72.458331,56.319062,alpha150_Every,28.65684978915309,0,0
mp_pendedcompletedrequest3_0.bpl.bpl.txt,OK,OK,83,105,105.876207,610.74533,OR,476.8485170610616,0,0
tffsport_checkdeviceobjectflags_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,345,159,3595.538671,3595.266958,TIMED-OUT,TIMED-OUT,0,0
avc_ioreuseirp_1.bpl.bpl.txt,NOK,NOK,146,435,157.245311,2882.3566570000003,OR,1733.0318650964418,0,0
avc_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,NOK,2346,235,3598.464631,1267.929335,alpha150_Every,TIMED-OUT,0,1
sbp2port_completerequest_0.bpl.bpl.txt,NOK,NOK,20,18,9.297831,11.272661000000001,OR,21.239684825417893,0,0
daytona_completerequeststatuscheck_1.bpl.bpl.txt,OK,OK,103,139,150.684762,567.675626,OR,276.7306119513266,0,0
mouser_removelockforward2_1.bpl.bpl.txt,NOK,NOK,30,49,19.420045,68.822074,OR,254.3867895259769,0,0
serial_irqlkedispatchlte_0.bpl.bpl.txt,NOK,TIMEDOUT,556,216,1001.473892,3598.081275,OR,TIMED-OUT,1,0
