Name,AlphaDecay_copy_OutCome,AlphaDecay_Outcome,AlphaDecay_copy_TotalSplits,AlphaDecay_TotalSplits,AlphaDecay_copy_RunTime,AlphaDecay_RunTime,Who Performed Better,By How Much Percentage,AlphaDecay TimedOut but not AlphaDecay_copy,AlphaDecay_copy TimedOut but not AlphaDecay
serial_irqlexallocatepool_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,97,97,898.61139,898.61139,TIMED-OUT,TIMED-OUT,0,0
tffsport_spinlockrelease_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,213,213,898.059431,898.059431,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,458,458,898.61168,898.61168,TIMED-OUT,TIMED-OUT,0,0
kbdclass_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,312,312,899.075107,899.075107,TIMED-OUT,TIMED-OUT,0,0
mouser_removelock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,143,143,899.139586,899.139586,TIMED-OUT,TIMED-OUT,0,0
crcfilter_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,164,164,899.190921,899.190921,TIMED-OUT,TIMED-OUT,0,0
hw_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,420,420,898.766387,898.766387,TIMED-OUT,TIMED-OUT,0,0
hw_irqlkesetevent_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,441,441,898.338416,898.338416,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkedispatchlte_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,302,302,898.588689,898.588689,TIMED-OUT,TIMED-OUT,0,0
serial_pagedcode_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,94,94,898.548242,898.548242,TIMED-OUT,TIMED-OUT,0,0
kbdclass_nsremovelockmnremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,465,465,899.090631,899.090631,TIMED-OUT,TIMED-OUT,0,0
tffsport_checkdeviceobjectflags_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,125,125,896.134641,896.134641,TIMED-OUT,TIMED-OUT,0,0
kerneldriver_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,402,402,899.070779,899.070779,TIMED-OUT,TIMED-OUT,0,0
avc_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,506,506,899.014325,899.014325,TIMED-OUT,TIMED-OUT,0,0
61883_ioallocateforward_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,456,456,898.333883,898.333883,TIMED-OUT,TIMED-OUT,0,0
hw_irqliopassive4_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,389,389,898.515266,898.515266,TIMED-OUT,TIMED-OUT,0,0
driver_markingqueuedirps_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,478,478,897.213298,897.213298,TIMED-OUT,TIMED-OUT,0,0
sbp2port_irqlkeraiselower_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,109,109,897.917926,897.917926,TIMED-OUT,TIMED-OUT,0,0
modem_irqlkereleasespinlock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,457,457,898.88747,898.88747,TIMED-OUT,TIMED-OUT,0,0
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,73,73,898.513346,898.513346,TIMED-OUT,TIMED-OUT,0,0
serial_pagedcode_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,109,109,898.466222,898.466222,TIMED-OUT,TIMED-OUT,0,0
serenum_markirppending_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,230,230,899.118803,899.118803,TIMED-OUT,TIMED-OUT,0,0
driver_irqlkesetevent_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,354,354,895.082913,895.082913,TIMED-OUT,TIMED-OUT,0,0
serenum_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,140,140,897.921672,897.921672,TIMED-OUT,TIMED-OUT,0,0
Imapi_removelockrelease2_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,98,98,899.046575,899.046575,TIMED-OUT,TIMED-OUT,0,0
61883_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,273,273,898.489376,898.489376,TIMED-OUT,TIMED-OUT,0,0
ppa3x_removelockreleasepnp_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,47,47,899.212718,899.212718,TIMED-OUT,TIMED-OUT,0,0
61883_irqlkereleasespinlock_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,462,462,898.527418,898.527418,TIMED-OUT,TIMED-OUT,0,0
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,485,485,899.116199,899.116199,TIMED-OUT,TIMED-OUT,0,0
avc_markirppending_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,186,186,898.565712,898.565712,TIMED-OUT,TIMED-OUT,0,0
61883_removelock_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,381,381,898.329503,898.329503,TIMED-OUT,TIMED-OUT,0,0
serial_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,345,345,898.669409,898.669409,TIMED-OUT,TIMED-OUT,0,0
serial_zwregistryopen_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,100,100,898.544155,898.544155,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,445,445,898.572095,898.572095,TIMED-OUT,TIMED-OUT,0,0
driver_completerequest_3.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,419,419,895.047192,895.047192,TIMED-OUT,TIMED-OUT,0,0
winnt_forwardedatbadirql_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,508,508,899.161266,899.161266,TIMED-OUT,TIMED-OUT,0,0
filter_lowerdriverreturn_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,409,409,898.809318,898.809318,TIMED-OUT,TIMED-OUT,0,0
partmgr_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,139,139,899.114275,899.114275,TIMED-OUT,TIMED-OUT,0,0
avc_irqlkesetevent_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,471,471,898.602107,898.602107,TIMED-OUT,TIMED-OUT,0,0
mouser_removelockreleasepnp_0.bpl.bpl.txt,NOK,NOK,60,60,80.914302,80.914302,TIMED-OUT,TIMED-OUT,0,0
