Name,10/Run2_OutCome,10/Run1_Outcome,10/Run2_InlinedProcedures,10/Run1_InlinedProcedures,10/Run2_RunTime,10/Run1_RunTime,Who Performed Better,By How Much Percentage,10/Run1 TimedOut but not 10/Run2,10/Run2 TimedOut but not 10/Run1
serial_markingqueuedirps_2.bpl.bpl.txt,ReachedBound,TIMEDOUT,6864,0,673.84,3600.0,10/Run2,-434.2514543511813,1,0
kbdclass_powerdownallocate_1.bpl.bpl.txt,ReachedBound,TIMEDOUT,1322,0,645.92,3600.0,10/Run2,-457.3445627941541,1,0
sbp2port_irqldispatch_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
mp_irqlexpassive_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
sys_zwregistrycreate_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
hw_pagedcode_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
flpydisk_irqlexapclte1_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
serial_markingqueuedirps_1.bpl.bpl.txt,ReachedBound,TIMEDOUT,6909,0,704.94,3600.0,10/Run2,-410.6817601497999,1,0
1394diag_ioallocatecomplete_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,4441,4848,117.5,706.66,10/Run2,-501.4127659574468,0,0
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
serial_zwregistryopen_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,7596,7762,252.19,1828.32,10/Run2,-624.977199730362,0,0
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,TIMEDOUT,16048,0,2314.27,3600.0,10/Run2,-55.55661180415423,1,0
61883_irqlexallocatepool_0.bpl.bpl.txt,ReachedBound,TIMEDOUT,5525,0,1519.21,3600.0,10/Run2,-136.9652648415953,1,0
serial_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,TIMEDOUT,7175,0,870.28,3600.0,10/Run2,-313.65997150342423,1,0
serial_zwregistryopen_2.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,0,0,3600.0,3600.0,TIMED-OUT,TIMED-OUT,0,0
mp_iobuildfsdirpsignaleventincompletiontimeout_0.bpl.bpl.txt,ReachedBound,TIMEDOUT,3655,0,844.86,3600.0,10/Run2,-326.1061004190043,1,0
