Name,OutCome,RunTime,TotalProceduresInlined
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,3600,0
1394vdev_markirppending_0.bpl.bpl.txt,ReachedBound,528.56,13666
hw_irqlreturn_0.bpl.bpl.txt,ReachedBound,1435.43,6526
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,107.37,2819
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,1565.45,3771
kbdclass_ioallocatefree_0.bpl.bpl.txt,ReachedBound,292.61,6093
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,97.8,2340
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,243.56,6891
serial_pendedcompletedrequest3_0.bpl.bpl.txt,ReachedBound,1012.91,6113
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,3600,0
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,1162.14,3591
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,276.42,4160
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,1129.78,6054
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,180.26,2028
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,3600,0
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,30.96,2266
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,83.94,4939
sbp2port_deletedevice_0.bpl.bpl.txt,ReachedBound,550.03,3073
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,429.74,1534
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,981.94,31105
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,257.32,3021
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,102.2,5711
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,137.43,3967
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,113.95,3896
mouser_completerequest_0.bpl.bpl.txt,TIMEDOUT,3600,0
