Name,30_Outcome,50_Outcome,70_Outcome,30_InlinedProcedures,50_InlinedProcedures,70_InlinedProcedures,30_Runtime,50_Runtime,70_Runtime,Who_Performed_Better
kbdclass_forwardedatbadirql_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6955,6706,7169,118.3,197.06,598.16,30
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,ReachedBound,14856,12894,12718,1047.21,469.32,402.99,70
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3770,3722,3689,1348.34,1801.38,2306.9,30
modem_markingqueuedirps_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3091,3008,2977,269.24,246.5,322.96,50
modem_markirppending_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
avc_completerequeststatuscheck_1.bpl.bpl.txt,NOK,NOK,NOK,4850,4226,4407,117.0,108.12,130.93,50
usbprint_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4150,4166,4192,194.06,241.9,288.06,30
hw_irqlreturn_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6911,7149,7115,1408.07,1318.82,1226.42,70
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,NOK,3399,3153,2478,118.42,174.5,199.67,30
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3793,3916,3728,1839.33,2311.74,2897.16,30
serial_pendedcompletedrequest3_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6368,6232,5695,1246.99,1184.89,1233.99,50
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,NOK,NOK,2365,2964,931,36.32,45.25,32.35,70
kbdclass_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4822,4913,5002,50.55,87.99,163.22,30
ppa3x_nsremovelockmnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
kbdclass_signaleventincompletion_1.bpl.bpl.txt,NOK,NOK,NOK,4904,2989,8129,78.75,68.07,292.43,50
61883_ioallocatecomplete_1.bpl.bpl.txt,NOK,NOK,NOK,40333,31217,40531,1442.44,1000.89,1591.84,50
sbp2port_deletedevice_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,3121,3161,3084,448.16,584.63,539.09,30
sbp2port_irqliopassive1_0.bpl.bpl.txt,NOK,NOK,NOK,1565,1527,1389,457.05,764.72,442.6,70
kbdclass_ioallocatefree_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6103,6114,6085,248.46,330.57,382.35,30
mouser_completerequest_0.bpl.bpl.txt,NOK,NOK,NOK,4034,3684,2193,824.77,698.79,303.31,70
kbdclass_forwardedatbadirql_0.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,4395,4067,4347,88.1,128.96,274.64,30
mouclass_signaleventincompletion_1.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,2264,2197,2348,89.15,87.88,126.37,50
ppa3x_nsremovelockquerymnremove_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,TIMEDOUT,0,0,0,3600.0,3600.0,3600.0,NONE
serial_pendedcompletedrequest3_2.bpl.bpl.txt,ReachedBound,ReachedBound,ReachedBound,6514,6050,6084,1557.9,1002.32,1297.5,50
kbdclass_removelockmnsurpriseremove_1.bpl.bpl.txt,NOK,NOK,NOK,7001,1913,2414,3319.81,143.86,190.94,50
