Name,simulate8Clients/portfolio_Outcome,wholeBenchmarkRun/OR_Outcome,simulate8Clients/portfolio_TotalSplits,wholeBenchmarkRun/OR_TotalSplits,simulate8Clients/portfolio_Runtime,wholeBenchmarkRun/OR_Runtime,Who_Performed_Better,How_Much_Percentage,min(ORx8_alpha50x8)_RunTime
serial_zwregistryopen_0.bpl.bpl.txt,OK,OK,421,297,760.7818060000001,610.381083,wholeBenchmarkRun/OR,24.640462686160948,760.7818060000001
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,NOK,107,109,8.189536,14.644477000000002,simulate8Clients/portfolio,78.81937389371024,8.189536
sbp2port_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,NOK,161,199,41.627781,39.841516,wholeBenchmarkRun/OR,4.483426283276972,41.627781
winnt_completerequest_0.bpl.bpl.txt,NOK,NOK,90,90,7.209172000000001,7.494769,simulate8Clients/portfolio,3.961578389307388,7.209172000000001
driver_irqlpspassive_0.bpl.bpl.txt,OK,OK,7,1,1.056842,2.214481,simulate8Clients/portfolio,109.5375656909926,1.056842
mouser_removelock_0.bpl.bpl.txt,NOK,NOK,193,132,19.885372,15.734765000000001,wholeBenchmarkRun/OR,26.37857635624046,19.885372
serial_irqlexallocatepool_1.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,590,0,3598.371062,3600,NONE,NA,3600
driver_irqlkewaitformutexobject_2.bpl.bpl.txt,OK,OK,73,11,10.545097,13.340532999999999,simulate8Clients/portfolio,26.509343631452598,10.545097
mp_pendedcompletedrequest3_0.bpl.bpl.txt,OK,OK,262,263,32.918801,27.607632,wholeBenchmarkRun/OR,19.238046204035186,32.918801
1394vdev_markirppending_0.bpl.bpl.txt,OK,OK,443,301,148.911235,67.842196,wholeBenchmarkRun/OR,119.49648416451615,148.911235
61883_removelockreleasedevicecontrol_0.bpl.bpl.txt,NOK,NOK,91,124,7.786802000000001,13.273641,simulate8Clients/portfolio,70.46331728994777,7.786802000000001
kbdclass_nsremovelockquerymnremove_1.bpl.bpl.txt,OK,OK,402,843,605.203294,357.95593399999996,wholeBenchmarkRun/OR,69.07201041120332,605.203294
sbp2port_irqlkedispatchlte_0.bpl.bpl.txt,TIMEDOUT,TIMEDOUT,938,0,3598.078923,3600,NONE,NA,3600
serial_markingqueuedirps_1.bpl.bpl.txt,OK,OK,987,1256,771.818433,950.9388839999999,simulate8Clients/portfolio,23.207589161063723,771.818433
modem_markingqueuedirps_0.bpl.bpl.txt,OK,OK,531,534,111.134793,131.488215,simulate8Clients/portfolio,18.314176371390726,111.134793
usbprint_ioallocatecomplete_0.bpl.bpl.txt,NOK,NOK,94,91,5.9466540000000006,7.258608,simulate8Clients/portfolio,22.062053719621137,5.9466540000000006
mp_markingqueuedirps_0.bpl.bpl.txt,NOK,NOK,279,256,58.126951999999996,71.599902,simulate8Clients/portfolio,23.178490418695972,58.126951999999996
