Name,OR_Outcome,OR_TotalSplits,OR_Runtime,Who_Performed_Better,Run number
sbp2port_markdevicepower_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
sys_removelockforwarddevicecontrol2_0.bpl.bpl.txt,OK,6,4.596271,OR,Run1
flpydisk_irqlexapclte1_1.bpl.bpl.txt,OK,128,620.988631,OR,Run1
61883_ioallocateirpsignaleventincompletion_1.bpl.bpl.txt,NOK,84,12.347616,OR,Run1
1394diag_ioallocatecomplete_0.bpl.bpl.txt,OK,653,623.256482,OR,Run1
parport_markstartdevice_0.bpl.bpl.txt,NOK,19,19.074861000000002,OR,Run1
winnt_completerequest_0.bpl.bpl.txt,NOK,90,7.494769,OR,Run1
mouser_iobuilddevicecontrolwait_0.bpl.bpl.txt,OK,291,115.48981400000001,OR,Run1
mouser_multremovelock_1.bpl.bpl.txt,NOK,98,8.168293,OR,Run1
driver_irqliopassive5_1.bpl.bpl.txt,OK,1,2.2678280000000006,OR,Run1
sbp2port_doublecompletion_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
kbdclass_removelockreleasepnp_1.bpl.bpl.txt,NOK,420,107.655791,OR,Run1
sbp2port_markirppending_0.bpl.bpl.txt,NOK,139,22.682460000000003,OR,Run1
driver_irqlkedispatchlte_1.bpl.bpl.txt,OK,514,227.513636,OR,Run1
sbp2port_irqlkewaitformutexobject_0.bpl.bpl.txt,NOK,157,18.640312,OR,Run1
hw_irqldispatch_0.bpl.bpl.txt,OK,343,151.060061,OR,Run1
61883_ioallocateirpsignaleventincompletiontimeout_0.bpl.bpl.txt,NOK,109,14.644477000000002,OR,Run1
serial_irqlexallocatepool_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
sbp2port_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,123,8.220886,OR,Run1
Imapi_removelockreleasedevicecontrol_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
serial_markingqueuedirps_2.bpl.bpl.txt,OK,902,690.24815,OR,Run1
mp_irqlkeapclte2_0.bpl.bpl.txt,OK,118,25.202499,OR,Run1
tffsport_spinlocksafe_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
mp_pendedcompletedrequest3_0.bpl.bpl.txt,OK,263,27.607632,OR,Run1
parzip_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,374,73.748198,OR,Run1
driver_irqlobpassive_0.bpl.bpl.txt,OK,1,1.4392219999999996,OR,Run1
kbdclass_nsremovelockmnremove_0.bpl.bpl.txt,OK,7731,3244.031658,OR,Run1
kbdclass_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,118,24.032809,OR,Run1
61883_removelock_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
modem_pendedcompletedrequest_0.bpl.bpl.txt,NOK,183,32.804866,OR,Run1
daytona_removelockreleasepnp_0.bpl.bpl.txt,NOK,370,112.312671,OR,Run1
61883_ioallocatefree_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
kbdclass_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,NOK,97,15.971919,OR,Run1
kbdclass_completerequest_1.bpl.bpl.txt,OK,625,160.138093,OR,Run1
filter_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,889,554.929619,OR,Run1
cyzport_markingqueuedirps_0.bpl.bpl.txt,NOK,247,38.41302,OR,Run1
61883_irqlkedispatchlte_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
cyzport_irqlreturn_0.bpl.bpl.txt,OK,230,103.555505,OR,Run1
mouser_iobuilddevicecontrolwait_1.bpl.bpl.txt,OK,300,110.74398599999999,OR,Run1
mouser_multremovelock_0.bpl.bpl.txt,NOK,92,8.282236,OR,Run1
usbprint_completerequest_0.bpl.bpl.txt,NOK,183,9.670658,OR,Run1
kbdclass_nsremovelockmnsurpriseremove_1.bpl.bpl.txt,OK,7377,3245.036767,OR,Run1
61883_ioallocateforward_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
kbdclass_nsremovelockmnremove_1.bpl.bpl.txt,OK,1509,695.631452,OR,Run1
mouclass_removelockmnsurpriseremove_0.bpl.bpl.txt,OK,693,281.403347,OR,Run1
parzip_nsremovelockquerymnremove_0.bpl.bpl.txt,OK,81,16.991954,OR,Run1
sys_removelockreleasedevicecontrol_4.bpl.bpl.txt,OK,7,5.377306,OR,Run1
serial_irqlexallocatepool_2.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
driver_irqlioapclte_2.bpl.bpl.txt,OK,1,1.4926790000000003,OR,Run1
sbp2port_pendedcompletedrequest_0.bpl.bpl.txt,NOK,129,22.057465,OR,Run1
hw_pagedcode_0.bpl.bpl.txt,OK,855,416.47037800000004,OR,Run1
ppa3x_completerequest_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
1394vdev_markirppending_0.bpl.bpl.txt,OK,301,67.842196,OR,Run1
sbp2port_irqlkesetevent_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
modem_irqlkedispatchlte_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
avc_completerequest_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
kbdclass_removelockmnsurpriseremove_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
61883_ioreleaseremovelockandwaitoutsideremovedevice_0.bpl.bpl.txt,NOK,106,19.204152999999998,OR,Run1
mouclass_powerdownallocate_1.bpl.bpl.txt,OK,504,262.817085,OR,Run1
parzip_removelockreleasepnp_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
avc_markirppending_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
avc_irqlkedispatchlte_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
sbp2port_irqldispatch_1.bpl.bpl.txt,OK,988,701.58046,OR,Run1
61883_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,107,14.066122,OR,Run1
61883_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,NOK,85,11.71679,OR,Run1
driver_targetrelationneedsref_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
mouser_forwardedatbadirqlallocate_0.bpl.bpl.txt,NOK,178,71.153282,OR,Run1
kbdclass_forwardedatbadirqlallocate_1.bpl.bpl.txt,NOK,144,32.401332,OR,Run1
cyzport_irqlkesetevent_0.bpl.bpl.txt,NOK,162,31.196244,OR,Run1
winnt_forwardedatbadirql_0.bpl.bpl.txt,OK,5227,2157.379754,OR,Run1
serial_irqlzwpassive_2.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
ppa3x_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,OK,309,33.112747999999996,OR,Run1
cyzport_irqlkereleasespinlock_0.bpl.bpl.txt,NOK,269,69.696994,OR,Run1
kbdclass_removelockforward2_1.bpl.bpl.txt,NOK,211,71.764572,OR,Run1
usbccgp_irqlkedispatchlte_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
sys_iobuilddeviceiocontrolsetevent_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
61883_irqlkereleasespinlock_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
avc_completerequeststatuscheck_0.bpl.bpl.txt,NOK,300,110.268507,OR,Run1
modem_completerequest_0.bpl.bpl.txt,NOK,232,25.730325,OR,Run1
ppa3x_nsremovelockmnsurpriseremove_0.bpl.bpl.txt,OK,371,71.305832,OR,Run1
sys_pendedcompletedrequest3_6.bpl.bpl.txt,OK,95,44.240782,OR,Run1
mp_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,335,68.82354000000001,OR,Run1
61883_irqlexallocatepool_0.bpl.bpl.txt,OK,704,395.105639,OR,Run1
sbp2port_ioallocateirpsignaleventincompletion_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
daytona_removelock_0.bpl.bpl.txt,NOK,194,58.604395000000004,OR,Run1
61883_multremovelock_0.bpl.bpl.txt,OK,236,59.144357,OR,Run1
serial_irqlkesetevent_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
crcfilter_irqlkereleasespinlock_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
winnt_markirppending_0.bpl.bpl.txt,NOK,93,8.058095999999999,OR,Run1
61883_forwardedatbadirqlallocate_1.bpl.bpl.txt,OK,122,84.906545,OR,Run1
usbccgp_pendedcompletedrequest3_0.bpl.bpl.txt,NOK,79,7.8272710000000005,OR,Run1
mouser_removelockforward2_0.bpl.bpl.txt,NOK,166,17.360994,OR,Run1
partmgr_completerequest_0.bpl.bpl.txt,OK,324,86.439095,OR,Run1
avc_irqlkereleasespinlock_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
mp_irqlreturn_0.bpl.bpl.txt,OK,122,24.579759000000003,OR,Run1
serial_pendedcompletedrequest3_2.bpl.bpl.txt,OK,433,106.006855,OR,Run1
mouser_removelock_1.bpl.bpl.txt,NOK,132,15.232927000000002,OR,Run1
serenum_completerequest_2.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
sbp2port_spinlocksafe_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
mouser_removelockreleasecreate_1.bpl.bpl.txt,NOK,595,1025.762611,OR,Run1
usbprint_ioallocatecomplete_0.bpl.bpl.txt,NOK,91,7.258608,OR,Run1
serial_irqlkesetevent_0.bpl.bpl.txt,NOK,1338,552.4607060000001,OR,Run1
usbccgp_irqliopassive3_0.bpl.bpl.txt,OK,401,130.033025,OR,Run1
mouclass_multremovelock_1.bpl.bpl.txt,NOK,161,49.019391999999996,OR,Run1
61883_removelockreleasedevicecontrol_0.bpl.bpl.txt,NOK,124,13.273641,OR,Run1
61883_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,125,13.140975000000001,OR,Run1
usbccgp_irqlioapclte_0.bpl.bpl.txt,OK,388,118.711967,OR,Run1
61883_lowerdriverreturn_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
cyzport_irqlkedispatchlte_0.bpl.bpl.txt,NOK,232,57.669423,OR,Run1
avc_forwardedatbadirql_1.bpl.bpl.txt,NOK,290,74.668633,OR,Run1
1394diag_pendedcompletedrequest_0.bpl.bpl.txt,OK,165,24.20593,OR,Run1
serial_pagedcode_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
modem_markingqueuedirps_0.bpl.bpl.txt,OK,534,131.488215,OR,Run1
sbp2port_irqlkedispatchlte_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
mouser_lowerdriverreturn_1.bpl.bpl.txt,NOK,84,33.634318,OR,Run1
modem_signaleventincompletion_0.bpl.bpl.txt,OK,231,39.773841,OR,Run1
sbp2port_markingqueuedirps_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
parzip_removelock_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
serial_markingqueuedirps_1.bpl.bpl.txt,OK,1256,950.9388839999999,OR,Run1
sbp2port_removelockrelease2_0.bpl.bpl.txt,NOK,67,7.416591,OR,Run1
sbp2port_irqlexallocatepool_0.bpl.bpl.txt,OK,279,85.267807,OR,Run1
serial_pendedcompletedrequest3_1.bpl.bpl.txt,NOK,209,22.722022000000003,OR,Run1
61883_forwardedatbadirqlallocate_0.bpl.bpl.txt,OK,137,19.268986,OR,Run1
driver_markingqueuedirps_3.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
driver_irqliopassive4_0.bpl.bpl.txt,OK,1,2.5309090000000003,OR,Run1
hw_irqlkewaitformutexobject_0.bpl.bpl.txt,OK,565,296.59540200000004,OR,Run1
modem_pendedcompletedrequest2_0.bpl.bpl.txt,NOK,214,18.12861,OR,Run1
mouser_removelockforward2_1.bpl.bpl.txt,NOK,119,11.544974,OR,Run1
61883_multremovelock_1.bpl.bpl.txt,OK,376,120.659892,OR,Run1
sbp2port_ioallocateforward_0.bpl.bpl.txt,NOK,90,11.209912,OR,Run1
usbccgp_removelockreleaseinternaldevicecontrol_0.bpl.bpl.txt,NOK,46,13.69592,OR,Run1
kbdclass_multremovelock_1.bpl.bpl.txt,NOK,113,48.055451,OR,Run1
sys_removelockmnsurpriseremove_0.bpl.bpl.txt,NOK,106,27.745588,OR,Run1
serenum_completerequest_1.bpl.bpl.txt,OK,5617,3507.365424,OR,Run1
partmgr_nsremovelockmnremove_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
usbccgp_removelockreleasepower_0.bpl.bpl.txt,NOK,107,11.662903,OR,Run1
avc_pagedcode_0.bpl.bpl.txt,OK,291,66.633966,OR,Run1
mp_irqlkedispatchlte_0.bpl.bpl.txt,OK,317,69.840905,OR,Run1
driver_irqliopassive1_1.bpl.bpl.txt,OK,1,3.147964,OR,Run1
filter_iobuilddevicecontrolnofree_0.bpl.bpl.txt,OK,552,322.780687,OR,Run1
filter_completerequeststatuscheck_1.bpl.bpl.txt,OK,244,103.877088,OR,Run1
kbdclass_multremovelock_0.bpl.bpl.txt,NOK,172,61.509037,OR,Run1
driver_irqlexallocatepool_3.bpl.bpl.txt,OK,13,14.267399,OR,Run1
sys_pendedcompletedrequest_0.bpl.bpl.txt,NOK,134,21.806089999999998,OR,Run1
driver_completerequest_3.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
61883_completerequest_0.bpl.bpl.txt,NOK,88,12.312295,OR,Run1
hw_completerequest_0.bpl.bpl.txt,NOK,130,39.87201,OR,Run1
Imapi_removelockrelease2_0.bpl.bpl.txt,OK,831,3196.9874729999997,OR,Run1
driver_irqlkesetevent_2.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
mouser_ioallocateirpsignaleventincompletiontimeout_1.bpl.bpl.txt,OK,501,145.68708099999998,OR,Run1
hw_irqliopassive2_0.bpl.bpl.txt,OK,1718,1226.5936379999998,OR,Run1
serenum_markirppending_0.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
sys_markirppending_6.bpl.bpl.txt,NOK,104,13.437398,OR,Run1
61883_removelockreleasepnp_1.bpl.bpl.txt,TIMED-OUT,0,0.0,OR,Run1
1394diag_pendedcompletedrequest2_0.bpl.bpl.txt,OK,622,236.89024300000003,OR,Run1
